日期,供應商,料件,批號,不良現象,檢驗數據,判定,照片編號
2026/7/22,誠鎰電鍍有限公司,端子鍍層加工（鍍錫）,P-0721-A,鍍層厚度不足,規格 3–5μm／實測 1.8μm,特採（複鍍後放行）,PIC-01
2026/7/23,元展塑膠,連接器本體（塑膠外殼）,YZ-0723,塑膠件縮水凹陷,目視判定,特採（外觀件挑選使用）,PIC-09
2026/7/24,誠鎰電鍍有限公司,端子鍍層加工（鍍錫）,P-0724-B,局部漏鍍，基材裸露,目視判定,退貨重工,PIC-01
2026/7/25,台鑫精密,端子二次加工,TX-0725,端子總長尺寸超出公差,規格±0.03mm／實測+0.08mm,全數退貨,—
2026/7/26,大昇銅業,C3604 銅棒原料,CU-0726,棒材直徑公差超出,規格 Φ8.0±0.05mm／實測 Φ8.09mm,全數退貨,"PIC-04, PIC-05"
2026/7/27,崧富五金,接觸彈片,SF-0727,彈片彈性疲乏（回彈力不足）,力量測試,全數退貨,—
2026/7/28,元展塑膠,連接器本體（塑膠外殼）,YZ-0728,端子孔位尺寸公差超出,規格±0.05mm／實測+0.12mm,全數退貨,—
2026/7/29,誠鎰電鍍有限公司,端子鍍層加工（鍍錫）,P-0729-A,鍍層厚度不足（同批型號再現）,規格 3–5μm／實測 1.9μm,特採＋正式通知供應商,PIC-01
2026/7/30,錦城五金,端子座外殼,JC-0730,外觀刮傷（包裝碰撞）,目視判定,特採（不影響電性功能）,PIC-07
2026/7/31,誠鎰電鍍有限公司,端子鍍層加工（鍍錫）,P-0731-C,鍍層附著力不良,膠帶測試脫落,全數退貨,PIC-01
2026/8/1,大昇銅業,C3604 銅棒原料,CU-0801,材質證明批號與實物批號不符,文件比對,暫停使用待查證,—
2026/8/2,元展塑膠,連接器本體（塑膠外殼）,YZ-0802,色差（與核准色板不符）,目視比對色板,特採（客戶未指定色號）,PIC-10
2026/8/3,台鑫精密,端子二次加工,TX-0803,表面粗糙度不良,Ra值超標,特採,PIC-12
2026/8/4,崧富五金,接觸彈片,SF-0804,鍍層氧化（儲存不當）,目視判定,特採（清潔後使用）,—
2026/8/5,誠鎰電鍍有限公司,端子鍍層加工（鍍錫）,P-0805-A,鍍層厚度第三次不足,規格 3–5μm／實測 2.0μm,特採,PIC-01
2026/8/6,大昇銅業,C3604 銅棒原料,CU-0806,棒材表面刮痕,目視判定,特採（不影響加工）,PIC-06
2026/8/7,錦城五金,端子座沖壓件,JC-0807,沖壓毛邊超出規格,目視＋手感判定,全數退貨,PIC-08
2026/8/8,元展塑膠,連接器本體（塑膠外殼）,YZ-0808,頂出頂針痕跡過深,目視判定,特採,PIC-11
2026/8/8,台鑫精密,端子二次加工,TX-0808,去毛邊不完全,目視判定,重工,—
2026/8/8,崧富五金,接觸彈片,SF-0808,尺寸不符圖面,規格比對,退貨,—
2026/7/29,大昇銅業,C3604 銅棒原料,CU-0729,棒材直徑公差超出（同批型號再現）,規格 Φ8.0±0.05mm／實測 Φ8.10mm,特採＋正式通知供應商,PIC-04
2026/8/7,大昇銅業,C3604 銅棒原料,CU-0807,棒材直徑公差第三次超出,規格 Φ8.0±0.05mm／實測 Φ8.11mm,全數退貨,"PIC-04, PIC-05"
2026/7/30,元展塑膠,連接器本體（塑膠外殼）,YZ-0730,塑膠件縮水凹陷（同機種再現）,目視判定,特採＋正式通知供應商,PIC-09
2026/8/6,元展塑膠,連接器本體（塑膠外殼）,YZ-0806,塑膠件縮水凹陷第三次發生,目視判定,全數退貨,PIC-09
